Index,Code_Full_Success,Code_Partial_Success,Code_Failure,Code w/ jb_Full_Success,Code w/ jb_Partial_Success,Code w/ jb_Failure,Summary_Full_Success,Summary_Partial_Success,Summary_Failure,Details_Full_Success,Details_Partial_Success,Details_Failure
1,0.800 (24/30),0.200 (6/30),0.000 (0/30),0.867 (26/30),0.133 (4/30),0.000 (0/30),0.867 (26/30),0.100 (3/30),0.033 (1/30),0.867 (26/30),0.100 (3/30),0.033 (1/30)
2,0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30)
3,0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30)
4,0.933 (28/30),0.067 (2/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30)
5,0.933 (28/30),0.067 (2/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30)
6,0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30)
7,0.900 (27/30),0.100 (3/30),0.000 (0/30),0.900 (27/30),0.100 (3/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30)
8,0.033 (1/30),0.000 (0/30),0.967 (29/30),0.033 (1/30),0.000 (0/30),0.967 (29/30),0.033 (1/30),0.000 (0/30),0.967 (29/30),0.033 (1/30),0.000 (0/30),0.967 (29/30)
9,0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30)
10,1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30)
11,0.633 (19/30),0.367 (11/30),0.000 (0/30),0.767 (23/30),0.233 (7/30),0.000 (0/30),0.967 (29/30),0.033 (1/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30)
12,1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30)
13,0.900 (27/30),0.100 (3/30),0.000 (0/30),0.200 (6/30),0.800 (24/30),0.000 (0/30),0.900 (27/30),0.100 (3/30),0.000 (0/30),0.900 (27/30),0.067 (2/30),0.033 (1/30)
14,0.900 (27/30),0.100 (3/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30),0.933 (28/30),0.067 (2/30),0.000 (0/30)
15,1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),0.633 (19/30),0.367 (11/30),0.000 (0/30),0.833 (25/30),0.167 (5/30),0.000 (0/30)
16,0.733 (22/30),0.267 (8/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30)
17,1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30)
18,1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30)
19,0.967 (29/30),0.033 (1/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),0.867 (26/30),0.133 (4/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30)
20,1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),0.900 (27/30),0.100 (3/30),0.000 (0/30),0.867 (26/30),0.133 (4/30),0.000 (0/30)
21,1.000 (30/30),0.000 (0/30),0.000 (0/30),0.967 (29/30),0.033 (1/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30),1.000 (30/30),0.000 (0/30),0.000 (0/30)
